epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7579,1.83465,2.84415,1.7092,0.36658,0.11644,0.12185,0.0355,2.25468,3.57352,1.91587,0.00065625,0.00065625,0.00065625
2,23.8529,1.84171,2.35152,1.69178,0.37763,0.22603,0.21505,0.06913,2.28107,4.84971,2.19034,0.00130982,0.00130982,0.00130982
3,34.567,1.87013,2.11322,1.69828,0.30805,0.24658,0.21197,0.06667,2.26429,6.15899,1.99947,0.00195019,0.00195019,0.00195019
