epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.947,1.77446,2.33502,1.8382,0.44789,0.25846,0.29607,0.10179,1.86909,14.7626,2.28096,0.0671953,0.000331361,0.000331361
2,77.5796,1.78644,1.85708,1.85086,0.54958,0.43731,0.44347,0.16366,1.80173,11.095,1.94201,0.0341952,0.000664622,0.000664622
3,115.743,1.77676,1.82566,1.83791,0.43862,0.50885,0.4349,0.18954,1.63253,17.9713,1.82508,0.00119483,0.000997594,0.000997594
4,154.119,1.73721,1.78093,1.79357,0.64289,0.53371,0.60215,0.20602,1.74689,3.44805,1.80828,0.000999023,0.000999023,0.000999023
5,192.506,1.68079,1.64038,1.74028,0.53987,0.58407,0.52907,0.23872,1.57912,10.7897,1.65985,0.000998264,0.000998264,0.000998264
6,231.323,1.68607,1.59237,1.74228,0.60744,0.48673,0.53348,0.2413,1.62583,3.2258,1.72537,0.000997288,0.000997288,0.000997288
7,270.603,1.64958,1.55087,1.70254,0.65419,0.58594,0.63031,0.27679,1.62921,3.73161,1.67004,0.000996097,0.000996097,0.000996097
8,310.542,1.61666,1.52846,1.69993,0.64793,0.64602,0.64001,0.26277,1.54583,4.62307,1.58711,0.00099469,0.00099469,0.00099469
9,351.078,1.6099,1.51286,1.68996,0.66708,0.62389,0.63359,0.2623,1.61035,4.27375,1.64287,0.000993068,0.000993068,0.000993068
10,391.232,1.55555,1.41841,1.63857,0.69476,0.58407,0.64932,0.28219,1.56497,3.65977,1.62719,0.000991232,0.000991232,0.000991232
11,431.529,1.54351,1.36475,1.62995,0.70159,0.62832,0.65296,0.27791,1.59146,2.22569,1.61848,0.000989183,0.000989183,0.000989183
12,471.495,1.55066,1.3625,1.63197,0.66232,0.61504,0.65009,0.29559,1.54708,3.98691,1.57235,0.000986922,0.000986922,0.000986922
13,511.906,1.52499,1.36529,1.61496,0.61558,0.53097,0.60632,0.27687,1.59265,4.86193,1.66743,0.000984449,0.000984449,0.000984449
14,552,1.51584,1.28679,1.58858,0.76758,0.66814,0.74443,0.32653,1.56556,2.08141,1.59361,0.000981765,0.000981765,0.000981765
15,592.113,1.52623,1.29087,1.60518,0.68529,0.69469,0.73898,0.29913,1.67598,2.33761,1.67104,0.000978873,0.000978873,0.000978873
16,632.081,1.49738,1.29677,1.59604,0.70043,0.67246,0.6688,0.28845,1.56153,1.65935,1.6343,0.000975773,0.000975773,0.000975773
17,672.231,1.46606,1.24169,1.57464,0.76152,0.59343,0.70868,0.3271,1.55054,2.62631,1.60236,0.000972466,0.000972466,0.000972466
18,712.632,1.47743,1.2026,1.56889,0.76048,0.69027,0.73347,0.32257,1.61881,3.94049,1.63565,0.000968955,0.000968955,0.000968955
19,753.096,1.43666,1.19932,1.54927,0.7132,0.69912,0.7338,0.34115,1.55853,3.18711,1.58825,0.000965239,0.000965239,0.000965239
20,793.481,1.40516,1.1735,1.52144,0.7473,0.69027,0.74897,0.34157,1.55471,1.66825,1.60839,0.000961322,0.000961322,0.000961322
21,834.774,1.40263,1.16211,1.5223,0.7346,0.69912,0.75257,0.32961,1.56604,4.67293,1.61522,0.000957205,0.000957205,0.000957205
22,876.002,1.41298,1.14136,1.52521,0.65294,0.54425,0.55882,0.23002,1.75759,8.08341,1.90458,0.000952889,0.000952889,0.000952889
23,917.123,1.37509,1.12718,1.49651,0.70036,0.60619,0.65979,0.2909,1.6716,3.65475,1.71532,0.000948377,0.000948377,0.000948377
24,957.236,1.37483,1.0922,1.49257,0.7234,0.65487,0.6971,0.32456,1.54395,2.6692,1.60772,0.000943671,0.000943671,0.000943671
25,997.189,1.3581,1.07379,1.48211,0.74277,0.69469,0.72768,0.3166,1.5641,2.3534,1.61736,0.000938772,0.000938772,0.000938772
26,1036.95,1.34658,1.06849,1.48462,0.76838,0.66814,0.75448,0.35299,1.56826,2.01751,1.65526,0.000933683,0.000933683,0.000933683
27,1076.84,1.34475,1.04353,1.4779,0.73116,0.65487,0.69318,0.29551,1.74563,6.56783,1.77494,0.000928405,0.000928405,0.000928405
28,1116.48,1.32664,1.04122,1.45372,0.78325,0.68754,0.77257,0.36984,1.48824,1.3378,1.59491,0.000922942,0.000922942,0.000922942
29,1156.27,1.30305,1.03018,1.43461,0.78144,0.69912,0.75628,0.36031,1.5643,1.47801,1.62587,0.000917296,0.000917296,0.000917296
30,1196,1.30847,1.00735,1.43754,0.71297,0.69245,0.74009,0.34304,1.53978,2.07172,1.61078,0.000911469,0.000911469,0.000911469
