epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,498.8,1.17931,0.82449,1.24138,0.72829,0.71601,0.75326,0.30051,2.16112,1.16302,2.05994,0.0011882,0.0011882,0.0011882
43,511.614,1.17044,0.79347,1.22797,0.79754,0.70151,0.74953,0.31149,2.13581,1.26159,1.97414,0.0011684,0.0011684,0.0011684
44,524.219,1.15223,0.7734,1.22187,0.77425,0.73288,0.75326,0.30426,2.15969,1.27573,1.97598,0.0011486,0.0011486,0.0011486
45,536.679,1.14825,0.77885,1.21989,0.80021,0.71329,0.76806,0.32253,1.98943,1.31497,1.77515,0.0011288,0.0011288,0.0011288
46,548.954,1.09096,0.74725,1.18903,0.84479,0.63699,0.73458,0.30766,1.95701,1.13256,1.80051,0.001109,0.001109,0.001109
47,561.351,1.10255,0.75886,1.19038,0.81491,0.66345,0.74347,0.2995,2.23696,1.22974,2.15528,0.0010892,0.0010892,0.0010892
48,573.911,1.08667,0.72679,1.17321,0.80921,0.63014,0.75578,0.30737,1.9575,1.25701,1.78883,0.0010694,0.0010694,0.0010694
49,585.691,1.06707,0.7141,1.16948,0.76094,0.59589,0.70629,0.3003,1.96014,1.21801,1.80976,0.0010496,0.0010496,0.0010496
50,597.832,1.06448,0.71044,1.16559,0.71469,0.72062,0.72671,0.31062,2.01188,1.19265,1.85385,0.0010298,0.0010298,0.0010298
51,609.482,1.0623,0.70431,1.15403,0.74797,0.67808,0.72219,0.30067,2.0211,1.23347,1.87912,0.00101,0.00101,0.00101
52,621.135,1.05791,0.69672,1.15463,0.73543,0.69863,0.77686,0.32307,2.1687,1.47911,1.8969,0.0009902,0.0009902,0.0009902
53,632.597,1.04415,0.69787,1.15823,0.74923,0.65484,0.68351,0.28491,2.25534,1.26307,2.11894,0.0009704,0.0009704,0.0009704
54,644.132,1.00588,0.68167,1.13126,0.78537,0.65753,0.70414,0.29132,2.1392,1.25229,2.01912,0.0009506,0.0009506,0.0009506
55,657.707,0.98607,0.66076,1.12369,0.81898,0.65076,0.72087,0.29502,2.17785,1.40101,1.97094,0.0009308,0.0009308,0.0009308
56,670.609,0.97199,0.65109,1.11697,0.83241,0.68041,0.77287,0.32556,2.0445,1.20471,1.88546,0.000911,0.000911,0.000911
57,681.157,0.99119,0.64246,1.12033,0.72377,0.64608,0.69366,0.28083,2.17459,1.39797,1.95583,0.0008912,0.0008912,0.0008912
58,691.884,1.00301,0.65068,1.12978,0.67705,0.66054,0.69158,0.27407,2.06458,1.216,1.90205,0.0008714,0.0008714,0.0008714
59,702.517,0.97252,0.65657,1.11812,0.74299,0.75342,0.7376,0.30054,2.09198,1.19311,2.01984,0.0008516,0.0008516,0.0008516
60,713.443,0.96954,0.63864,1.11893,0.7873,0.68493,0.7352,0.30157,2.17007,1.28947,2.11449,0.0008318,0.0008318,0.0008318
61,723.991,0.93968,0.62147,1.10212,0.70623,0.65864,0.67694,0.28285,2.06978,1.29755,1.98724,0.000812,0.000812,0.000812
62,735.949,0.94176,0.6329,1.11404,0.742,0.70548,0.73949,0.31725,2.03379,1.28518,1.92772,0.0007922,0.0007922,0.0007922
63,748.203,0.91932,0.60245,1.0896,0.79896,0.64384,0.73359,0.30353,1.9458,1.34846,1.86194,0.0007724,0.0007724,0.0007724
64,760.075,0.92503,0.62342,1.09385,0.74689,0.71233,0.73984,0.33139,2.05724,1.26994,1.95365,0.0007526,0.0007526,0.0007526
65,771.883,0.90361,0.61013,1.09133,0.79534,0.72603,0.738,0.31634,2.04352,1.16197,1.96439,0.0007328,0.0007328,0.0007328
66,783.346,0.91515,0.6025,1.0968,0.78818,0.70548,0.76169,0.31243,2.09039,1.34466,1.98521,0.000713,0.000713,0.000713
67,793.824,0.89392,0.60697,1.08829,0.70787,0.69707,0.69317,0.269,2.16791,1.25453,2.08536,0.0006932,0.0006932,0.0006932
68,804.358,0.86199,0.58358,1.0638,0.7199,0.69178,0.70721,0.29503,2.1254,1.26643,2.0183,0.0006734,0.0006734,0.0006734
69,815.183,0.88448,0.57914,1.08156,0.86586,0.66316,0.75553,0.30884,2.05853,1.16889,2.00109,0.0006536,0.0006536,0.0006536
70,829.117,0.85419,0.56866,1.05915,0.79375,0.68533,0.73239,0.30187,2.09147,1.44937,2.02957,0.0006338,0.0006338,0.0006338
71,843.429,0.86431,0.5712,1.07183,0.81912,0.67808,0.74854,0.31796,2.16787,1.25052,2.17917,0.000614,0.000614,0.000614
72,858.262,0.85069,0.56186,1.0708,0.77514,0.69863,0.71947,0.30154,2.1495,1.22001,2.07354,0.0005942,0.0005942,0.0005942
73,872.714,0.83626,0.55403,1.05598,0.78812,0.66241,0.71591,0.29897,2.27395,1.51404,2.13229,0.0005744,0.0005744,0.0005744
74,885.753,0.82104,0.54896,1.04081,0.83403,0.62329,0.70923,0.28554,2.06734,1.38722,1.97511,0.0005546,0.0005546,0.0005546
75,899.776,0.80211,0.53568,1.04425,0.80891,0.66686,0.73988,0.30011,2.25439,1.40512,2.12245,0.0005348,0.0005348,0.0005348
76,913.511,0.81463,0.53881,1.04309,0.84793,0.72566,0.77609,0.31031,2.18077,1.32579,2.10041,0.000515,0.000515,0.000515
