epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.8481,1.69084,2.87149,1.78153,0.26674,0.27876,0.19548,0.05358,1.90855,19.4427,2.24227,0.000662722,0.000662722,0.000662722
2,49.1276,1.8371,2.30264,1.89713,0.37138,0.21681,0.18167,0.05761,1.98421,18.9486,2.13508,0.00131623,0.00131623,0.00131623
3,71.6567,1.8396,2.1114,1.8885,0.08982,0.11504,0.04208,0.01192,2.92792,8.05753,3.04669,0.00195653,0.00195653,0.00195653
4,94.2313,1.85765,2.00088,1.88451,0.47558,0.43739,0.38997,0.14816,1.64908,13.5526,1.73258,0.0019406,0.0019406,0.0019406
5,117.137,1.77589,1.87294,1.81251,0.51938,0.5,0.48097,0.19157,1.64784,5.65274,1.69719,0.0019208,0.0019208,0.0019208
6,140.113,1.76218,1.82105,1.80695,0.68266,0.55752,0.60245,0.25053,1.58992,4.25012,1.69508,0.001901,0.001901,0.001901
7,163.256,1.73145,1.71637,1.76714,0.57587,0.57675,0.6017,0.26061,1.59978,2.91754,1.66434,0.0018812,0.0018812,0.0018812
8,186.4,1.6697,1.73735,1.7531,0.54386,0.5708,0.57794,0.24753,1.5529,4.64721,1.63977,0.0018614,0.0018614,0.0018614
9,209.619,1.67632,1.64971,1.74647,0.64946,0.56566,0.61543,0.26772,1.58906,4.21471,1.64829,0.0018416,0.0018416,0.0018416
10,232.921,1.64487,1.60422,1.71163,0.68336,0.52212,0.57915,0.26031,1.55376,3.4814,1.63173,0.0018218,0.0018218,0.0018218
11,256.411,1.59881,1.52219,1.6726,0.71966,0.55658,0.68446,0.31328,1.52031,3.5339,1.60097,0.001802,0.001802,0.001802
12,279.814,1.61514,1.50939,1.68349,0.7209,0.64602,0.69993,0.29895,1.55968,3.97235,1.64595,0.0017822,0.0017822,0.0017822
13,303.368,1.59977,1.49774,1.67635,0.68441,0.64159,0.68685,0.31985,1.50297,2.85974,1.56325,0.0017624,0.0017624,0.0017624
14,326.653,1.5614,1.4025,1.62432,0.67108,0.63717,0.67717,0.27819,1.64103,5.49109,1.69889,0.0017426,0.0017426,0.0017426
15,349.943,1.58804,1.41704,1.64234,0.68617,0.62884,0.68304,0.30885,1.51356,1.64194,1.57187,0.0017228,0.0017228,0.0017228
16,373.436,1.55247,1.41185,1.62841,0.79598,0.5885,0.69394,0.31947,1.49776,2.66198,1.55809,0.001703,0.001703,0.001703
17,396.857,1.52595,1.36337,1.6122,0.73518,0.66334,0.73537,0.30863,1.60103,1.96497,1.60781,0.0016832,0.0016832,0.0016832
18,420.236,1.54359,1.30652,1.60956,0.77475,0.65044,0.73033,0.32407,1.54431,3.73707,1.62185,0.0016634,0.0016634,0.0016634
19,443.893,1.48949,1.3058,1.57507,0.74542,0.66076,0.7124,0.33132,1.51088,2.01173,1.5654,0.0016436,0.0016436,0.0016436
20,467.151,1.46208,1.27177,1.55676,0.72096,0.61062,0.67314,0.30106,1.66522,2.85629,1.69481,0.0016238,0.0016238,0.0016238
21,491.037,1.45564,1.25316,1.56037,0.78404,0.69074,0.77001,0.35759,1.50003,3.00293,1.5657,0.001604,0.001604,0.001604
22,514.567,1.47212,1.23509,1.56285,0.58286,0.54406,0.54833,0.23573,1.6636,6.55339,1.67109,0.0015842,0.0015842,0.0015842
23,538.078,1.44961,1.23082,1.54983,0.74592,0.68848,0.73959,0.33307,1.57284,3.34061,1.62607,0.0015644,0.0015644,0.0015644
24,561.836,1.43495,1.18623,1.53557,0.71423,0.61947,0.65719,0.29011,1.67683,3.20971,1.7088,0.0015446,0.0015446,0.0015446
25,585.429,1.40678,1.1694,1.5249,0.72729,0.66082,0.71093,0.32993,1.51574,3.89247,1.56869,0.0015248,0.0015248,0.0015248
26,608.976,1.40497,1.16791,1.51139,0.80183,0.6087,0.731,0.34259,1.48502,3.06933,1.55855,0.001505,0.001505,0.001505
27,632.743,1.40653,1.1351,1.515,0.70759,0.62104,0.67485,0.32424,1.52463,3.27851,1.56748,0.0014852,0.0014852,0.0014852
28,656.189,1.39035,1.13247,1.50164,0.80269,0.69912,0.77373,0.34752,1.4483,2.25169,1.54329,0.0014654,0.0014654,0.0014654
29,679.736,1.38352,1.13678,1.49153,0.7629,0.71188,0.78345,0.34661,1.49853,1.57816,1.53969,0.0014456,0.0014456,0.0014456
30,703.353,1.35825,1.07681,1.46564,0.73301,0.62389,0.70669,0.32647,1.50035,2.71626,1.54681,0.0014258,0.0014258,0.0014258
31,726.743,1.34589,1.09495,1.46777,0.79452,0.61592,0.72176,0.34006,1.47641,2.55187,1.53214,0.001406,0.001406,0.001406
32,750.3,1.34546,1.06517,1.44734,0.80315,0.70354,0.77267,0.38182,1.41539,1.76549,1.52791,0.0013862,0.0013862,0.0013862
33,774.234,1.32526,1.0324,1.45352,0.7491,0.68695,0.73595,0.338,1.58957,3.54356,1.65589,0.0013664,0.0013664,0.0013664
34,797.733,1.30408,1.0202,1.43898,0.81853,0.70354,0.78545,0.39215,1.47567,1.53237,1.55045,0.0013466,0.0013466,0.0013466
35,821.289,1.31968,1.00643,1.42622,0.77078,0.75221,0.78553,0.38264,1.48174,1.75483,1.55206,0.0013268,0.0013268,0.0013268
36,844.593,1.29949,1.01421,1.43355,0.75577,0.69912,0.73192,0.33698,1.58101,2.52602,1.65082,0.001307,0.001307,0.001307
37,867.975,1.28805,0.9914,1.42087,0.81386,0.69648,0.78861,0.37941,1.53627,2.45024,1.58094,0.0012872,0.0012872,0.0012872
38,891.415,1.27502,0.98804,1.41721,0.73061,0.67202,0.7046,0.34394,1.52816,2.27821,1.60603,0.0012674,0.0012674,0.0012674
39,914.918,1.26287,0.96368,1.40893,0.78065,0.69469,0.73271,0.33454,1.50673,2.59404,1.58264,0.0012476,0.0012476,0.0012476
40,938.263,1.23304,0.94295,1.39477,0.74679,0.71773,0.7505,0.35917,1.52811,1.4002,1.58183,0.0012278,0.0012278,0.0012278
41,962.062,1.23613,0.94387,1.38958,0.8068,0.64674,0.73762,0.34323,1.55154,3.86391,1.63759,0.001208,0.001208,0.001208
42,985.599,1.21848,0.92547,1.37689,0.8087,0.71079,0.76418,0.37744,1.47272,2.78287,1.58415,0.0011882,0.0011882,0.0011882
