epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.3552,1.79351,2.72639,1.86767,0.1173,0.32301,0.07935,0.02618,2.01298,31.016,2.29973,0.000662722,0.000662722,0.000662722
2,83.9929,1.95257,2.18109,2.00486,0.21783,0.20354,0.12579,0.03051,2.02314,21.3718,2.21794,0.00132061,0.00132061,0.00132061
3,125.034,1.94631,2.12573,1.9621,0.27161,0.27876,0.18866,0.06699,1.97109,25.4593,2.11525,0.00196971,0.00196971,0.00196971
4,168.992,1.89446,2.01312,1.90419,0.49757,0.44248,0.39943,0.14162,1.78755,10.5188,1.83787,0.0019604,0.0019604,0.0019604
5,212.039,1.82925,1.89962,1.85155,0.55902,0.46018,0.47814,0.18471,1.68251,4.50268,1.76578,0.0019472,0.0019472,0.0019472
6,253.431,1.80596,1.84186,1.83502,0.53306,0.47484,0.50781,0.21053,1.581,9.59572,1.67994,0.001934,0.001934,0.001934
7,293.096,1.75936,1.76993,1.78735,0.53407,0.57522,0.55043,0.22255,1.68723,3.63576,1.72704,0.0019208,0.0019208,0.0019208
8,332.938,1.70229,1.7536,1.75877,0.61493,0.5177,0.57869,0.2567,1.6167,5.12594,1.65369,0.0019076,0.0019076,0.0019076
9,372.635,1.70404,1.66854,1.74494,0.63882,0.55752,0.59537,0.25202,1.58642,5.01472,1.64431,0.0018944,0.0018944,0.0018944
10,412.348,1.68323,1.6175,1.72577,0.63148,0.54867,0.60269,0.26799,1.59792,4.70916,1.64335,0.0018812,0.0018812,0.0018812
11,452.603,1.64463,1.55764,1.69401,0.61499,0.53097,0.61684,0.27151,1.57343,2.95544,1.62305,0.001868,0.001868,0.001868
12,493.214,1.62765,1.53859,1.69281,0.56731,0.58407,0.61334,0.26259,1.55326,7.22925,1.59754,0.0018548,0.0018548,0.0018548
13,533.229,1.61472,1.5447,1.67454,0.62367,0.57931,0.60701,0.27053,1.60381,3.53373,1.64548,0.0018416,0.0018416,0.0018416
14,573.349,1.59724,1.42728,1.64269,0.6542,0.64602,0.66425,0.27981,1.57532,6.34859,1.63201,0.0018284,0.0018284,0.0018284
15,614.087,1.60886,1.45673,1.65854,0.69,0.67257,0.71367,0.32075,1.54743,3.34464,1.63233,0.0018152,0.0018152,0.0018152
16,654.199,1.58402,1.42357,1.63807,0.74573,0.64887,0.72501,0.31164,1.47529,4.12008,1.55159,0.001802,0.001802,0.001802
17,701.621,1.56534,1.35813,1.6386,0.69808,0.66814,0.72694,0.33247,1.54603,3.11486,1.57029,0.0017888,0.0017888,0.0017888
18,749.702,1.55492,1.35658,1.61989,0.70039,0.66372,0.71107,0.31941,1.46094,3.80464,1.5401,0.0017756,0.0017756,0.0017756
19,795.078,1.54403,1.31223,1.61065,0.75183,0.65487,0.69511,0.29818,1.48446,3.38333,1.5516,0.0017624,0.0017624,0.0017624
20,841.26,1.4925,1.30554,1.57572,0.71018,0.69027,0.73265,0.31384,1.54906,2.73073,1.61804,0.0017492,0.0017492,0.0017492
21,890.142,1.49355,1.27888,1.57561,0.67792,0.624,0.69698,0.32333,1.54961,2.97794,1.58277,0.001736,0.001736,0.001736
22,937.861,1.49535,1.24502,1.56012,0.76107,0.65487,0.73791,0.33211,1.54835,3.78417,1.58731,0.0017228,0.0017228,0.0017228
23,984.707,1.46703,1.23368,1.55092,0.69336,0.71038,0.7464,0.32544,1.58293,3.31081,1.60477,0.0017096,0.0017096,0.0017096
24,1033.13,1.47736,1.21896,1.55289,0.68405,0.58407,0.62374,0.28382,1.56847,4.71103,1.63673,0.0016964,0.0016964,0.0016964
25,1080.39,1.44043,1.20383,1.54689,0.70211,0.65929,0.7101,0.31626,1.57637,2.63986,1.60383,0.0016832,0.0016832,0.0016832
26,1128.12,1.42472,1.17826,1.52575,0.76371,0.71239,0.77959,0.3622,1.47962,4.71166,1.54325,0.00167,0.00167,0.00167
27,1177.11,1.42683,1.15724,1.53024,0.72946,0.65044,0.7024,0.32209,1.54523,3.89108,1.61631,0.0016568,0.0016568,0.0016568
28,1225.05,1.40148,1.14233,1.50712,0.73012,0.65839,0.73029,0.34991,1.47866,2.36651,1.54229,0.0016436,0.0016436,0.0016436
29,1272.45,1.40207,1.12667,1.50648,0.76776,0.65487,0.74823,0.31025,1.77786,2.54934,1.74703,0.0016304,0.0016304,0.0016304
30,1318.79,1.40034,1.11433,1.49654,0.73018,0.71239,0.7468,0.32458,1.51806,4.44361,1.58515,0.0016172,0.0016172,0.0016172
31,1359.09,1.37594,1.11823,1.48704,0.75822,0.66605,0.71851,0.33633,1.54202,3.43931,1.63328,0.001604,0.001604,0.001604
32,1400.7,1.36818,1.06687,1.46789,0.81736,0.69307,0.77968,0.38524,1.54778,1.65002,1.59068,0.0015908,0.0015908,0.0015908
33,1443.26,1.34416,1.06631,1.47215,0.79754,0.65929,0.77448,0.35481,1.52262,2.77627,1.59323,0.0015776,0.0015776,0.0015776
34,1485.3,1.32421,1.04029,1.45981,0.84276,0.68773,0.76086,0.36338,1.4846,2.98235,1.58054,0.0015644,0.0015644,0.0015644
35,1527.59,1.3271,0.99058,1.43663,0.84778,0.66814,0.76146,0.365,1.58593,1.91056,1.61972,0.0015512,0.0015512,0.0015512
36,1569.77,1.30591,0.99801,1.4319,0.77419,0.69785,0.77317,0.35665,1.58416,1.85655,1.65562,0.001538,0.001538,0.001538
37,1611.82,1.28989,0.9819,1.4236,0.79213,0.69132,0.7635,0.33343,1.5506,2.02935,1.62532,0.0015248,0.0015248,0.0015248
38,1653.87,1.28803,0.99381,1.41246,0.82183,0.66372,0.75832,0.35691,1.51366,1.81353,1.60696,0.0015116,0.0015116,0.0015116
39,1696.36,1.27754,0.96949,1.40615,0.78388,0.66814,0.74014,0.34785,1.54079,2.48795,1.58418,0.0014984,0.0014984,0.0014984
40,1739.84,1.25456,0.93389,1.39771,0.79779,0.68142,0.75897,0.37519,1.49765,1.38235,1.58017,0.0014852,0.0014852,0.0014852
41,1784.1,1.25345,0.95552,1.40309,0.81062,0.67257,0.75484,0.32832,1.62274,2.59488,1.69502,0.001472,0.001472,0.001472
42,1827.6,1.23684,0.93292,1.38854,0.79255,0.72566,0.7846,0.38747,1.46157,2.04467,1.54752,0.0014588,0.0014588,0.0014588
43,1871.31,1.23561,0.90539,1.38415,0.84637,0.73129,0.80223,0.37283,1.51814,1.48183,1.58916,0.0014456,0.0014456,0.0014456
44,1915.08,1.21714,0.90798,1.36545,0.79776,0.68072,0.7519,0.36852,1.50543,1.73046,1.59918,0.0014324,0.0014324,0.0014324
45,1957.55,1.20359,0.89665,1.36321,0.8684,0.64238,0.75235,0.37066,1.4876,2.04979,1.5805,0.0014192,0.0014192,0.0014192
46,1999.31,1.19076,0.88316,1.35914,0.73506,0.72431,0.75565,0.37087,1.5155,1.78494,1.61136,0.001406,0.001406,0.001406
47,2041.45,1.17215,0.85571,1.33803,0.76956,0.67699,0.71442,0.33149,1.55193,2.12603,1.65139,0.0013928,0.0013928,0.0013928
