epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.9677,1.6719,2.53658,1.76211,0.2101,0.20354,0.11685,0.03441,2.24315,3.20562,2.52576,0.000661017,0.000661017,0.000661017
2,45.7316,1.75337,2.15042,1.81059,0.19986,0.23451,0.14466,0.03427,2.71512,2.86179,3.10487,0.00131454,0.00131454,0.00131454
3,66.9502,1.80225,1.98598,1.8308,0.38868,0.38496,0.33683,0.10999,2.23532,2.67735,2.33333,0.00195486,0.00195486,0.00195486
4,89.0209,1.76869,1.8815,1.79947,0.49259,0.47345,0.45959,0.15794,2.0363,2.0571,2.06889,0.0019406,0.0019406,0.0019406
5,109.723,1.73915,1.76278,1.76843,0.50629,0.4115,0.41535,0.15249,2.1089,2.31966,2.18498,0.0019208,0.0019208,0.0019208
6,129.632,1.71126,1.68944,1.74158,0.58807,0.57965,0.58946,0.24847,1.947,1.6995,1.93323,0.001901,0.001901,0.001901
7,150.529,1.68209,1.61732,1.71345,0.53011,0.57965,0.57654,0.2433,1.9443,1.69537,1.9906,0.0018812,0.0018812,0.0018812
8,172.094,1.65542,1.53926,1.69495,0.58287,0.5885,0.63185,0.27829,1.83162,1.56185,1.86724,0.0018614,0.0018614,0.0018614
9,192.658,1.64665,1.54838,1.68861,0.66746,0.5708,0.64393,0.24588,1.9585,1.58458,1.95565,0.0018416,0.0018416,0.0018416
10,214.894,1.60306,1.48802,1.67063,0.70186,0.62832,0.66701,0.28266,1.92435,1.46219,1.93965,0.0018218,0.0018218,0.0018218
11,236.009,1.60795,1.46519,1.66053,0.737,0.65044,0.69398,0.30661,1.91679,1.40163,1.88205,0.001802,0.001802,0.001802
12,256.497,1.5988,1.456,1.65666,0.71236,0.58079,0.62387,0.27698,1.96,1.59715,1.98569,0.0017822,0.0017822,0.0017822
13,277.538,1.55782,1.40301,1.61777,0.68364,0.65487,0.67151,0.3055,1.87433,1.41734,1.93943,0.0017624,0.0017624,0.0017624
14,297.498,1.54888,1.3841,1.61587,0.69391,0.62194,0.69675,0.30914,1.76241,1.40323,1.80039,0.0017426,0.0017426,0.0017426
